Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,CZ error ,Gate time (ns),Operational,sx time (ns),measure time (ns),rz time (ns),x time (ns),i time (ns),reset time (ns)
0,219.64262815689972,139.54986264201193,0,0,0.0094,0.0111999999999999,0.0076,1560,0.0002780314126318,0,0.0002780314126318,0.0002780314126318,0_1:0.005249783039893485,0_1:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
1,254.84973898107236,288.5064380860079,0,0,0.0343,0.0336,0.035,1560,0.0003061829992698,0,0.0003061829992698,0.0003061829992698,1_2:0.0026972661123328967;1_0:0.005249783039893485,1_2:68;1_0:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
2,224.16980341328127,175.1489634247495,0,0,0.0188999999999999,0.0234,0.0143999999999999,1560,0.0001440155839278,0,0.0001440155839278,0.0001440155839278,2_3:0.0022173030440871544;2_1:0.0026972661123328967,2_3:68;2_1:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
3,244.52620690388488,261.52056423233546,0,0,0.0349999999999999,0.0322,0.0377999999999999,1560,0.0001697967837223,0,0.0001697967837223,0.0001697967837223,3_16:0.0029001490201424895;3_4:0.0027522952458194916;3_2:0.0022173030440871544,3_16:68;3_4:68;3_2:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
4,146.57647647789747,143.5625830107557,0,0,0.006,0.0086,0.0033999999999999,1560,0.0002133729323992,0,0.0002133729323992,0.0002133729323992,4_3:0.0027522952458194916;4_5:0.002410443735687856,4_3:68;4_5:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
5,205.6030932534237,142.22844630650818,0,0,0.0308999999999999,0.0302,0.0315999999999999,1560,0.0008622574351268,0,0.0008622574351268,0.0008622574351268,5_6:0.01483741854045556;5_4:0.002410443735687856,5_6:68;5_4:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
6,45.65838863878173,83.43166780259808,0,0,0.0249,0.0228,0.027,1560,0.0003534420846953,0,0.0003534420846953,0.0003534420846953,6_7:0.0030531759441000395;6_5:0.01483741854045556,6_7:68;6_5:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
7,163.16328967761547,56.339213930378975,0,0,0.0251,0.0312,0.019,1560,0.0003186967357064,0,0.0003186967357064,0.0003186967357064,7_17:0.004297037700244366;7_8:0.00302215669029976;7_6:0.0030531759441000395,7_17:68;7_8:68;7_6:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
8,149.3714538413123,46.376653722946806,0,0,0.0060999999999999,0.007,0.0051999999999999,1560,0.0003943088688535,0,0.0003943088688535,0.0003943088688535,8_7:0.00302215669029976;8_9:0.002247978296200992,8_7:68;8_9:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
9,239.25554022510585,83.43194790639551,0,0,0.0269,0.0298,0.024,1560,0.0001731345666969,0,0.0001731345666969,0.0001731345666969,9_10:0.0017863619786004648;9_8:0.002247978296200992,9_10:68;9_8:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
