Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,ECR error ,Gate time (ns),Operational,measure time (ns),x time (ns),rz time (ns),i time (ns),sx time (ns),reset time (ns)
0,242.16005668275247,84.90993442866157,5.0917339170330935,-0.3064178713208025,0.0134,0.014,0.0128,4000,0.0002879955185388,0,0.0002879955185388,0.0002879955185388,0_14:0.015871869128514432;0_1:0.007193964724229729,0_14:660;0_1:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
1,314.3680747701012,241.60398461454224,4.97057410625809,-0.3076118473056415,0.0293999999999999,0.0276,0.0312,4000,0.0001774869704155,0,0.0001774869704155,0.0001774869704155,1_2:0.006882378536141487,1_2:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
2,167.11531103041884,166.30919249945345,4.890407216938728,-0.3088667251884885,0.028,0.0258,0.0302,4000,0.0002420761103556,0,0.0002420761103556,0.0002420761103556,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
3,312.7907338991642,236.91485217571824,5.053127320017145,-0.3066624843695048,0.0205999999999999,0.0154,0.0258,4000,0.0001629829112909,0,0.0001629829112909,0.0001629829112909,3_2:0.009923077350573128;3_4:0.004976368783967927,3_2:660;3_4:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
4,252.9732457045881,203.16013066194776,4.9781651524424255,-0.3077713513806138,0.0091999999999999,0.0116,0.0068,4000,0.0003468445067977,0,0.0003468445067977,0.0003468445067977,4_15:0.006352038933984672,4_15:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
5,172.1421476135744,173.43007772854008,5.040789102747792,-0.3067426554727341,0.0363999999999999,0.0332,0.0396,4000,0.0002222953163473,0,0.0002222953163473,0.0002222953163473,5_4:0.005606165653150613,5_4:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
6,168.45138746806452,106.56455037459732,5.170089437255036,-0.3037940775265072,0.0358,0.0372,0.0343999999999999,4000,0.0002497446548333,0,0.0002497446548333,0.0002497446548333,6_7:0.007079174553704826;6_5:0.00776139978287102,6_7:660;6_5:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
7,242.040372474126,246.91793766999388,5.080746386785153,-0.3059345033629119,0.0171999999999999,0.0146,0.0198,4000,0.0002454959609039,0,0.0002454959609039,0.0002454959609039,7_8:0.006699241170605247,7_8:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
8,230.01256174341108,86.24609009980595,5.003179266643984,-0.307600825764635,0.0043999999999999,0.0061999999999999,0.0026,4000,0.0002436613829146,0,0.0002436613829146,0.0002436613829146,8_16:0.008116301668362441,8_16:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
9,267.8775489380742,37.973897841045016,5.102020954170143,-0.3062090662670669,0.0238,0.026,0.0216,4000,0.0004960483255752,0,0.0004960483255752,0.0004960483255752,9_8:0.011843776398974631;9_10:0.013128348784874538,9_8:660;9_10:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
